code,logical_bit,noise_type,noise_prob,syndrome,decoded_result,logical_error,fidelity,trial
Shor,1,bit_flip,0.9,"[0, 0, 1, 0, 0, 0]",Bit-flip on qubit 3 or 4,True,0.0018911261333130348,3
Shor,1,bit_flip,0.9,"[0, 0, 1, 0, 0, 0]",Bit-flip on qubit 3 or 4,True,0.0018911261333130348,4
Shor,1,bit_flip,0.9,"[0, 0, 1, 0, 0, 0]",Bit-flip on qubit 3 or 4,True,0.0018911261333130348,5
Shor,1,bit_flip,0.9,"[0, 0, 1, 0, 0, 0]",Bit-flip on qubit 3 or 4,True,0.0018911261333130348,6
Shor,1,bit_flip,0.9,"[0, 0, 1, 0, 0, 0]",Bit-flip on qubit 3 or 4,True,0.0018911261333130348,7
Shor,1,bit_flip,0.9,"[0, 0, 1, 0, 0, 0]",Bit-flip on qubit 3 or 4,True,0.0018911261333130348,8
Shor,1,bit_flip,0.9,"[0, 0, 1, 0, 0, 0]",Bit-flip on qubit 3 or 4,True,0.0018911261333130348,9
Steane,1,bit_flip,0.9,"[0, 0, 0]",No error,True,0.026572504626875944,0
Steane,1,bit_flip,0.9,"[0, 0, 0]",No error,True,0.026572504626875944,1
Steane,1,bit_flip,0.9,"[0, 0, 0]",No error,True,0.026572504626875944,2
Steane,1,bit_flip,0.9,"[0, 0, 0]",No error,True,0.026572504626875944,3
Steane,1,bit_flip,0.9,"[0, 0, 0]",No error,True,0.026572504626875944,4
Steane,1,bit_flip,0.9,"[0, 0, 0]",No error,True,0.026572504626875944,5
Steane,1,bit_flip,0.9,"[0, 0, 0]",No error,True,0.026572504626875944,6
Steane,1,bit_flip,0.9,"[0, 0, 0]",No error,True,0.026572504626875944,7
Steane,1,bit_flip,0.9,"[0, 0, 0]",No error,True,0.026572504626875944,8
Steane,1,bit_flip,0.9,"[0, 0, 0]",No error,True,0.026572504626875944,9
Surface,1,bit_flip,0.9,"[0, 0]",No error,True,0.06561000000000948,0
Surface,1,bit_flip,0.9,"[0, 0]",No error,True,0.06561000000000948,1
Surface,1,bit_flip,0.9,"[0, 0]",No error,True,0.06561000000000948,2
Surface,1,bit_flip,0.9,"[0, 0]",No error,True,0.06561000000000948,3
Surface,1,bit_flip,0.9,"[0, 0]",No error,True,0.06561000000000948,4
Surface,1,bit_flip,0.9,"[0, 0]",No error,True,0.06561000000000948,5
Surface,1,bit_flip,0.9,"[0, 0]",No error,True,0.06561000000000948,6
Surface,1,bit_flip,0.9,"[0, 0]",No error,True,0.06561000000000948,7
Surface,1,bit_flip,0.9,"[0, 0]",No error,True,0.06561000000000948,8
Surface,1,bit_flip,0.9,"[0, 0]",No error,True,0.06561000000000948,9
Shor,0,phase_flip,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.01562500719242207,0
Shor,0,phase_flip,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.01562500719242207,1
Shor,0,phase_flip,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.01562500719242207,2
Shor,0,phase_flip,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.01562500719242207,3
Shor,0,phase_flip,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.01562500719242207,4
Shor,0,phase_flip,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.01562500719242207,5
Shor,0,phase_flip,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.01562500719242207,6
Shor,0,phase_flip,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.01562500719242207,7
Shor,0,phase_flip,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.01562500719242207,8
Shor,0,phase_flip,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,0.01562500719242207,9
Steane,0,phase_flip,0.9,"[0, 0, 0]",No error,True,0.5000000013171588,0
Steane,0,phase_flip,0.9,"[0, 0, 0]",No error,True,0.5000000013171588,1
Steane,0,phase_flip,0.9,"[0, 0, 0]",No error,True,0.5000000013171588,2
Steane,0,phase_flip,0.9,"[0, 0, 0]",No error,True,0.5000000013171588,3
Steane,0,phase_flip,0.9,"[0, 0, 0]",No error,True,0.5000000013171588,4
Steane,0,phase_flip,0.9,"[0, 0, 0]",No error,True,0.5000000013171588,5
Steane,0,phase_flip,0.9,"[0, 0, 0]",No error,True,0.5000000013171588,6
Steane,0,phase_flip,0.9,"[0, 0, 0]",No error,True,0.5000000013171588,7
Steane,0,phase_flip,0.9,"[0, 0, 0]",No error,True,0.5000000013171588,8
Steane,0,phase_flip,0.9,"[0, 0, 0]",No error,True,0.5000000013171588,9
Surface,0,phase_flip,0.9,"[0, 0]",No error,False,1.0000000000001,0
Surface,0,phase_flip,0.9,"[0, 0]",No error,False,1.0000000000001,1
Surface,0,phase_flip,0.9,"[0, 0]",No error,False,1.0000000000001,2
Surface,0,phase_flip,0.9,"[0, 0]",No error,False,1.0000000000001,3
Surface,0,phase_flip,0.9,"[0, 0]",No error,False,1.0000000000001,4
Surface,0,phase_flip,0.9,"[0, 0]",No error,False,1.0000000000001,5
Surface,0,phase_flip,0.9,"[0, 0]",No error,False,1.0000000000001,6
Surface,0,phase_flip,0.9,"[0, 0]",No error,False,1.0000000000001,7
Surface,0,phase_flip,0.9,"[0, 0]",No error,False,1.0000000000001,8
Surface,0,phase_flip,0.9,"[0, 0]",No error,False,1.0000000000001,9
Shor,1,phase_flip,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,3.006593016851724e-18,0
Shor,1,phase_flip,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,3.006593016851724e-18,1
Shor,1,phase_flip,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,3.006593016851724e-18,2
Shor,1,phase_flip,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,3.006593016851724e-18,3
Shor,1,phase_flip,0.9,"[0, 0, 0, 0, 0, 0]",No error,True,3.006593016851724e-18,4
